,ID Candidato,Género,Carrera Gestional,Avance,Semestres Totales,Postulados Si/No,Evaluados Si/No,Altamente Recomendado,Operaciones-Calidad,MTTO-DIMA,Comercial-Planeamiento,DIGI-SC,Resto-Soft,Apto/No Apto,Destacado Pym,Ingles,Apto/ Destacado,Ingresados Si/No
818,818.0,M,Ing. Diseño Automotriz,8.0,9.0,Si,Si,,5,3,1,1,1,1,1,0, ,0
819,819.0,F,Ing. Industrial,4.0,10.0,Si,Si,,0,0,0,0,0,0,0,0, ,0
820,820.0,M,Ing. Mecatrónica/Electrónica,,,Si,Si,,1,1,1,1,1,0,0,0, ,0
821,821.0,M,Ing. Innovación y Desarrollo,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
822,822.0,M,Ing. Mecánica,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
823,823.0,M,Contabilidad,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
824,824.0,F,Ing. Innovación y Desarrollo,,,Si,Si,,1,5,1,3,3,1,1,0,2,1
825,825.0,M,Ing. Mecánica,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
826,826.0,M,Ing. Innovación y Desarrollo,,,Si,Si,,1,1,1,1,1,0,0,0, ,0
827,827.0,M,Ing. Nanotecnología,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
828,828.0,M,Ing. Nanotecnología,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
829,829.0,M,Ing. Física,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
830,830.0,M,Ing. Industrial,,,Si,Si,,1,1,1,1,1,0,0,0, ,0
831,831.0,M,Ing. Desarrollo Sustentable,,,Si,Si,,3,3,1,5,1,1,1,0, ,0
832,832.0,M,Ing. Mecánica,,,Si,Si,,5,5,1,1,3,1,1,0,1,0
833,833.0,F,Ing. Mecatrónica/Electrónica,,,Si,Si,,1,1,1,1,1,0,0,0, ,0
834,834.0,M,Ing. Industrial,,,Si,Si,,1,5,1,1,1,1,1,0, ,0
835,835.0,M,Ing. Mecánica,,,Si,Si,,1,1,1,1,1,0,0,0, ,0
836,836.0,M,Ing. Mecánica,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
837,837.0,F,Economía/Finanzas,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
838,838.0,F,Ing. Industrial,,,Si,Si,,1,3,1,1,1,1,0,0, ,0
839,839.0,M,Ing. Mecatrónica/Electrónica,,,Si,Si,,1,1,3,1,1,1,0,0, ,0
840,840.0,M,Ing. Mecatrónica/Electrónica,,,Si,Si,,1,1,1,1,1,0,0,0, ,0
841,841.0,M,Negocios Internacionales,,,Si,Si,,1,3,5,3,1,1,1,0,2,1
842,842.0,M,Tecnologías Computacionales,,,Si,Si,,1,3,1,3,5,1,0,0, ,0
843,843.0,M,Economía/Finanzas,,,Si,Si,,1,1,1,1,3,1,0,0, ,0
844,844.0,F,Administración,,,Si,Si,,1,3,1,5,5,1,1,0, ,0
845,845.0,M,Ing. Innovación y Desarrollo,,,Si,Si,,1,5,1,1,5,1,1,0,2,0
846,846.0,F,Ing. Innovación y Desarrollo,,,Si,Si,,1,1,1,1,1,0,0,0, ,0
847,847.0,M,Ing. Mecatrónica/Electrónica,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
848,848.0,F,Ing. Industrial,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
849,849.0,M,Ing. Mecánica,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
850,850.0,F,Ing. Mecánica,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
851,851.0,M,Ing. Nanotecnología,,,Si,Si,,5,5,1,1,5,1,1,0,2,1
852,852.0,M,Ing. Química,,,Si,Si,,1,3,1,3,1,1,0,0, ,0
853,853.0,F,Ing. Industrial,,,Si,Si,,3,3,1,1,1,1,0,0, ,0
854,854.0,F,Ing. Física,,,Si,Si,,3,5,1,3,1,1,1,0,1,0
855,855.0,F,Relaciones Internacionales,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
856,856.0,M,Derecho/Ciencias Políticas,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
857,857.0,F,Administración,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
858,858.0,M,Economía/Finanzas,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
859,859.0,F,Ing. Biotecnología,,,Si,Si,,3,5,1,1,5,1,1,0,2,0
860,860.0,F,Ing. Biotecnología,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
861,861.0,F,Ing. Química,,,Si,Si,,1,3,1,1,3,1,0,0, ,0
862,862.0,M,Ing. Física,,,Si,Si,,1,1,1,3,1,1,0,0, ,0
863,863.0,M,Ing. Industrial,,,Si,Si,,1,1,1,5,1,1,1,0,2,1
864,864.0,M,Ing. Mecatrónica/Electrónica,,,Si,Si,,5,5,5,5,1,1,1,0,2,1
865,865.0,M,Contabilidad,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
866,866.0,M,Ing. Nanotecnología,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
867,867.0,M,Ing. Mecatrónica/Electrónica,,,Si,Si,,3,1,1,5,1,1,1,0,2,1
868,868.0,M,Tecnologías Computacionales,,,Si,Si,,3,5,1,1,5,1,1,0, ,0
869,869.0,M,Tecnologías Computacionales,,,Si,Si,,1,1,1,1,1,0,0,0, ,0
870,870.0,M,Ing. Química,,,Si,Si,,1,1,1,1,3,1,0,0, ,0
871,871.0,M,Ing. Industrial,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
872,872.0,F,Ing. Industrial,,,Si,Si,,5,1,1,1,1,1,1,0,2,1
873,873.0,F,Ing. Química,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
874,874.0,M,Ing. Mecatrónica/Electrónica,,,Si,Si,,5,3,5,5,1,1,1,0,1,0
875,875.0,F,Ing. Desarrollo Sustentable,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
876,876.0,M,Ing. Mecatrónica/Electrónica,,,Si,Si,,5,5,5,3,3,1,1,0,1,0
877,877.0,F,Ing. Química,,,Si,Si,,1,3,3,1,1,1,0,0, ,0
878,878.0,M,Ing. Diseño Automotriz,,,Si,Si,,5,1,1,1,1,1,1,0,2,1
879,879.0,F,Ing. Desarrollo Sustentable,,,Si,Si,,1,5,1,3,1,1,1,0, ,0
880,880.0,F,Negocios Internacionales,,,Si,Si,,1,5,1,1,5,1,1,0, ,0
881,881.0,F,Ing. Innovación y Desarrollo,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
882,882.0,M,Economía/Finanzas,,,Si,Si,,3,1,1,1,1,1,0,0, ,0
883,883.0,M,Ing. Mecatrónica/Electrónica,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
884,884.0,M,Ing. Química,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
885,885.0,F,Ing. Innovación y Desarrollo,,,Si,Si,,5,5,1,5,1,1,1,0,2,1
886,886.0,M,Ing. Industrial,,,Si,Si,,5,3,5,5,1,1,1,0,1,0
887,887.0,M,Tecnologías Computacionales,,,Si,Si,,1,3,1,3,1,1,0,0, ,0
888,888.0,M,Ing. Química,,,Si,Si,,1,5,1,1,3,1,1,0,1,0
